Date,Close,High,Low,Open,Volume,symbol,name,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,SOL-USD,SOL-USD,SOL-USD,SOL-USD,SOL-USD,XRP-USD,XRP-USD,XRP-USD,XRP-USD,XRP-USD,ADA-USD,ADA-USD,ADA-USD,ADA-USD,ADA-USD
2023-01-01,16625.080078125,16630.439453125,16521.234375,16547.9140625,9244361700.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-02,16688.470703125,16759.34375,16572.228515625,16625.509765625,12097775227.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-03,16679.857421875,16760.447265625,16622.37109375,16688.84765625,13903079207.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-04,16863.23828125,16964.5859375,16667.763671875,16680.205078125,18421743322.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-05,16836.736328125,16884.021484375,16790.283203125,16863.47265625,13692758566.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-06,16951.96875,16991.994140625,16716.421875,16836.47265625,14413662913.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-07,16955.078125,16975.017578125,16914.19140625,16952.1171875,7714767174.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-08,17091.14453125,17091.14453125,16924.05078125,16954.146484375,9768827914.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-09,17196.5546875,17389.95703125,17093.9921875,17093.9921875,18624736866.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-10,17446.29296875,17484.720703125,17162.990234375,17192.94921875,15808338949.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-11,17934.896484375,17934.896484375,17337.994140625,17446.359375,18372283782.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-12,18869.587890625,19030.087890625,17995.203125,18117.59375,34971338710.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-13,19909.57421875,19964.322265625,18753.1640625,18868.90625,29225029694.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-14,20976.298828125,21075.142578125,19907.828125,19910.537109375,38967784639.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-15,20880.798828125,20993.748046875,20606.986328125,20977.484375,19298407543.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-16,21169.6328125,21360.875,20715.74609375,20882.224609375,26792494050.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-17,21161.51953125,21438.66015625,20978.533203125,21175.833984375,24999983362.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-18,20688.78125,21564.501953125,20541.544921875,21161.05078125,30005625418.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-19,21086.79296875,21163.01171875,20685.380859375,20686.74609375,21152848261.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-20,22676.552734375,22692.357421875,20919.126953125,21085.373046875,28799154319.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-21,22777.625,23282.34765625,22511.833984375,22677.427734375,32442278429.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-22,22720.416015625,23056.73046875,22387.900390625,22777.986328125,24746386230.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-23,22934.431640625,23126.486328125,22654.3046875,22721.087890625,26518700512.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-24,22636.46875,23134.01171875,22549.744140625,22929.626953125,26405069715.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-25,23117.859375,23722.099609375,22406.076171875,22639.267578125,30685366709.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-26,23032.77734375,23237.078125,22911.373046875,23108.955078125,26357839322.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-27,23078.728515625,23417.720703125,22654.59375,23030.716796875,25383335641.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-28,23031.08984375,23165.896484375,22908.845703125,23079.96484375,14712928379.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-29,23774.56640625,23919.890625,22985.0703125,23031.44921875,27423687259.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-30,22840.138671875,23789.34765625,22657.58203125,23774.6484375,27205595568.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-01-31,23139.283203125,23225.021484375,22765.568359375,22840.796875,22837828665.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-01,23723.76953125,23764.5390625,22877.75,23137.8359375,26683255504.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-02,23471.87109375,24167.2109375,23468.595703125,23720.82421875,32066936882.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-03,23449.322265625,23678.103515625,23279.955078125,23469.412109375,27083066007.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-04,23331.84765625,23556.94921875,23291.794921875,23446.3203125,15639298538.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-05,22955.666015625,23423.435546875,22841.759765625,23332.248046875,19564262605.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-06,22760.109375,23119.279296875,22692.025390625,22954.021484375,23825006542.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-07,23264.291015625,23310.974609375,22756.2578125,22757.267578125,27187964471.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-08,22939.3984375,23367.958984375,22731.09765625,23263.416015625,25371367758.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-09,21819.0390625,22996.4375,21773.974609375,22946.56640625,32572572185.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-10,21651.18359375,21941.185546875,21539.392578125,21819.005859375,27078406594.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-11,21870.875,21891.41015625,21618.44921875,21651.841796875,16356226232.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-12,21788.203125,22060.994140625,21682.828125,21870.90234375,17821046406.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-13,21808.1015625,21898.4140625,21460.087890625,21787.0,23918742607.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-14,22220.8046875,22293.140625,21632.39453125,21801.822265625,26792596581.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-15,24307.841796875,24307.841796875,22082.76953125,22220.5859375,32483312909.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-16,23623.474609375,25134.1171875,23602.5234375,24307.349609375,39316664596.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-17,24565.6015625,24924.041015625,23460.755859375,23621.283203125,41358451255.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-18,24641.27734375,24798.8359375,24468.373046875,24565.296875,19625427158.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-19,24327.642578125,25093.0546875,24327.642578125,24640.02734375,25555105670.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-20,24829.1484375,25020.458984375,23927.91015625,24336.623046875,28987376573.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-21,24436.353515625,25126.8515625,24200.36328125,24833.048828125,31252098714.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-22,24188.84375,24472.33984375,23644.318359375,24437.41796875,30199996781.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-23,23947.4921875,24572.08984375,23693.919921875,24190.71875,30476264066.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-24,23198.126953125,24103.705078125,23007.072265625,23946.0078125,26811744928.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-25,23175.375,23210.2109375,22861.55859375,23200.125,16100721565.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-26,23561.212890625,23654.3671875,23084.220703125,23174.150390625,16644534842.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-27,23522.87109375,23857.890625,23205.87890625,23561.451171875,22660763494.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-02-28,23147.353515625,23585.384765625,23077.650390625,23521.837890625,20535363434.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-03-01,23646.55078125,23880.6328125,23088.626953125,23150.9296875,24662841200.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-03-02,23475.466796875,23739.138671875,23245.021484375,23647.01953125,20386398516.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-03-03,22362.6796875,23479.34765625,22213.23828125,23476.6328125,26062404610.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-03-04,22353.349609375,22405.177734375,22198.98046875,22362.923828125,11166012913.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-03-05,22435.513671875,22613.685546875,22307.142578125,22354.14453125,13317001733.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-03-06,22429.7578125,22584.29296875,22331.314453125,22436.81640625,17353192895.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-03-07,22219.76953125,22527.41796875,22011.26171875,22428.322265625,22765452204.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-03-08,21718.080078125,22268.896484375,21708.05078125,22216.44140625,22536575684.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-03-09,20363.021484375,21802.716796875,20210.306640625,21720.080078125,30364664171.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-03-10,20187.244140625,20370.595703125,19628.25390625,20367.001953125,39578257695.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
2023-03-11,20632.41015625,20792.525390625,20068.66015625,20187.876953125,30180288176.0,BTC-USD,Bitcoin,,,,,,,,,,,,,,,,,,,,
