date,close,high,low,open,volume,symbol,market_cap
2023-02-14,0.386441,0.392139,0.355391,0.359571,4.7643136e+08,ADA,3.5e+10
2023-02-15,0.418115,0.418115,0.382576,0.386477,4.7831955e+08,ADA,3.5e+10
2023-02-16,0.387902,0.419182,0.387687,0.418061,5.5297043e+08,ADA,3.5e+10
2023-02-17,0.403943,0.40934,0.387052,0.387863,4.0354666e+08,ADA,3.5e+10
2023-02-18,0.406331,0.415947,0.398473,0.403928,3.146189e+08,ADA,3.5e+10
2023-02-19,0.400107,0.411628,0.399074,0.406306,3.4666502e+08,ADA,3.5e+10
2023-02-20,0.404003,0.40923,0.392036,0.400151,3.7556954e+08,ADA,3.5e+10
2023-02-21,0.392417,0.405485,0.387791,0.404043,3.8768682e+08,ADA,3.5e+10
2023-02-22,0.388921,0.392715,0.378828,0.392437,3.837364e+08,ADA,3.5e+10
2023-02-23,0.383023,0.394634,0.380796,0.388926,2.9143427e+08,ADA,3.5e+10
2023-02-24,0.365819,0.384898,0.359807,0.382975,3.9669107e+08,ADA,3.5e+10
2023-02-25,0.362364,0.367335,0.35388,0.365844,2.8188467e+08,ADA,3.5e+10
2023-02-26,0.368973,0.369808,0.358478,0.362391,2.076843e+08,ADA,3.5e+10
2023-02-27,0.364899,0.369893,0.358805,0.36894,2.3273213e+08,ADA,3.5e+10
2023-02-28,0.352454,0.367607,0.349691,0.364887,2.4019685e+08,ADA,3.5e+10
2023-03-01,0.360356,0.363668,0.350506,0.352526,2.2965963e+08,ADA,3.5e+10
2023-03-02,0.350206,0.361087,0.345982,0.360372,2.4500242e+08,ADA,3.5e+10
2023-03-03,0.342737,0.350676,0.327622,0.350256,3.960683e+08,ADA,3.5e+10
2023-03-04,0.336499,0.344338,0.331731,0.342753,1.7305598e+08,ADA,3.5e+10
2023-03-05,0.337102,0.342506,0.335321,0.33649,1.7183973e+08,ADA,3.5e+10
2023-03-06,0.330821,0.338409,0.33041,0.337099,2.2581531e+08,ADA,3.5e+10
2023-03-07,0.330483,0.334501,0.323054,0.33086,2.7211734e+08,ADA,3.5e+10
2023-03-08,0.317577,0.332409,0.315657,0.33047,2.935621e+08,ADA,3.5e+10
2023-03-09,0.309678,0.321424,0.303152,0.317609,4.4423408e+08,ADA,3.5e+10
2023-03-10,0.315342,0.317734,0.298484,0.309748,4.6988186e+08,ADA,3.5e+10
2023-03-11,0.307327,0.322794,0.304548,0.315334,4.4448403e+08,ADA,3.5e+10
2023-03-12,0.331539,0.331539,0.304408,0.307319,3.7580234e+08,ADA,3.5e+10
2023-03-13,0.344585,0.352078,0.32869,0.331603,6.528831e+08,ADA,3.5e+10
2023-03-14,0.344308,0.368492,0.339232,0.34458,5.94802e+08,ADA,3.5e+10
2023-03-15,0.324637,0.348034,0.317716,0.344394,5.8935296e+08,ADA,3.5e+10
2023-03-16,0.325383,0.329508,0.32001,0.324767,3.4213702e+08,ADA,3.5e+10
2023-03-17,0.350524,0.350524,0.322638,0.325403,4.130386e+08,ADA,3.5e+10
2023-03-18,0.337711,0.356596,0.336988,0.350535,3.672275e+08,ADA,3.5e+10
